I, [2016-09-18T20:49:09.130036 #22242]  INFO -- Kitchen: -----> Starting Kitchen (v1.13.0)
E, [2016-09-18T20:49:09.130378 #22242] ERROR -- Kitchen: ------Exception-------
E, [2016-09-18T20:49:09.130414 #22242] ERROR -- Kitchen: Class: Kitchen::UserError
E, [2016-09-18T20:49:09.130435 #22242] ERROR -- Kitchen: Message: Kitchen YAML file /home/thomas/narrabilis/mpli/code/6/testkitchen/manifests/.kitchen.yml does not exist.
E, [2016-09-18T20:49:09.130455 #22242] ERROR -- Kitchen: ----------------------
E, [2016-09-18T20:49:09.130473 #22242] ERROR -- Kitchen: ------Backtrace-------
E, [2016-09-18T20:49:09.130490 #22242] ERROR -- Kitchen: /home/thomas/.gem/ruby/gems/test-kitchen-1.13.0/lib/kitchen/loader/yaml.rb:74:in `read'
E, [2016-09-18T20:49:09.130509 #22242] ERROR -- Kitchen: /home/thomas/.gem/ruby/gems/test-kitchen-1.13.0/lib/kitchen/config.rb:154:in `data'
E, [2016-09-18T20:49:09.130528 #22242] ERROR -- Kitchen: /home/thomas/.gem/ruby/gems/test-kitchen-1.13.0/lib/kitchen/config.rb:133:in `suites'
E, [2016-09-18T20:49:09.130547 #22242] ERROR -- Kitchen: /home/thomas/.gem/ruby/gems/test-kitchen-1.13.0/lib/kitchen/config.rb:184:in `filter_instances'
E, [2016-09-18T20:49:09.130566 #22242] ERROR -- Kitchen: /home/thomas/.gem/ruby/gems/test-kitchen-1.13.0/lib/kitchen/config.rb:143:in `build_instances'
E, [2016-09-18T20:49:09.130585 #22242] ERROR -- Kitchen: /home/thomas/.gem/ruby/gems/test-kitchen-1.13.0/lib/kitchen/config.rb:119:in `instances'
E, [2016-09-18T20:49:09.130604 #22242] ERROR -- Kitchen: /home/thomas/.gem/ruby/gems/test-kitchen-1.13.0/lib/kitchen/command.rb:115:in `filtered_instances'
E, [2016-09-18T20:49:09.130622 #22242] ERROR -- Kitchen: /home/thomas/.gem/ruby/gems/test-kitchen-1.13.0/lib/kitchen/command.rb:145:in `parse_subcommand'
E, [2016-09-18T20:49:09.130641 #22242] ERROR -- Kitchen: /home/thomas/.gem/ruby/gems/test-kitchen-1.13.0/lib/kitchen/command/action.rb:38:in `block in call'
E, [2016-09-18T20:49:09.130666 #22242] ERROR -- Kitchen: /usr/share/ruby/benchmark.rb:293:in `measure'
E, [2016-09-18T20:49:09.130699 #22242] ERROR -- Kitchen: /home/thomas/.gem/ruby/gems/test-kitchen-1.13.0/lib/kitchen/command/action.rb:37:in `call'
E, [2016-09-18T20:49:09.130719 #22242] ERROR -- Kitchen: /home/thomas/.gem/ruby/gems/test-kitchen-1.13.0/lib/kitchen/cli.rb:56:in `perform'
E, [2016-09-18T20:49:09.130739 #22242] ERROR -- Kitchen: /home/thomas/.gem/ruby/gems/test-kitchen-1.13.0/lib/kitchen/cli.rb:186:in `block (2 levels) in <class:CLI>'
E, [2016-09-18T20:49:09.130758 #22242] ERROR -- Kitchen: /home/thomas/.gem/ruby/gems/thor-0.19.1/lib/thor/command.rb:27:in `run'
E, [2016-09-18T20:49:09.130776 #22242] ERROR -- Kitchen: /home/thomas/.gem/ruby/gems/thor-0.19.1/lib/thor/invocation.rb:126:in `invoke_command'
E, [2016-09-18T20:49:09.130795 #22242] ERROR -- Kitchen: /home/thomas/.gem/ruby/gems/test-kitchen-1.13.0/lib/kitchen/cli.rb:334:in `invoke_task'
E, [2016-09-18T20:49:09.130814 #22242] ERROR -- Kitchen: /home/thomas/.gem/ruby/gems/thor-0.19.1/lib/thor.rb:359:in `dispatch'
E, [2016-09-18T20:49:09.130833 #22242] ERROR -- Kitchen: /home/thomas/.gem/ruby/gems/thor-0.19.1/lib/thor/base.rb:440:in `start'
E, [2016-09-18T20:49:09.130852 #22242] ERROR -- Kitchen: /home/thomas/.gem/ruby/gems/test-kitchen-1.13.0/bin/kitchen:13:in `block in <top (required)>'
E, [2016-09-18T20:49:09.130871 #22242] ERROR -- Kitchen: /home/thomas/.gem/ruby/gems/test-kitchen-1.13.0/lib/kitchen/errors.rb:174:in `with_friendly_errors'
E, [2016-09-18T20:49:09.130890 #22242] ERROR -- Kitchen: /home/thomas/.gem/ruby/gems/test-kitchen-1.13.0/bin/kitchen:13:in `<top (required)>'
E, [2016-09-18T20:49:09.130909 #22242] ERROR -- Kitchen: /home/thomas/bin/kitchen:23:in `load'
E, [2016-09-18T20:49:09.130927 #22242] ERROR -- Kitchen: /home/thomas/bin/kitchen:23:in `<main>'
E, [2016-09-18T20:49:09.130953 #22242] ERROR -- Kitchen: ----End Backtrace-----
